date,pressconf,scheduled
8/22/2000,0,1
10/3/2000,0,1
11/15/2000,0,1
12/19/2000,0,1
1/3/2001,0,0
1/31/2001,0,1
3/20/2001,0,1
4/11/2001,0,0
4/18/2001,0,0
5/15/2001,0,1
6/27/2001,0,1
8/21/2001,0,1
9/13/2001,0,0
9/17/2001,0,0
10/2/2001,0,1
11/6/2001,0,1
12/11/2001,0,1
1/30/2002,0,1
3/19/2002,0,1
5/7/2002,0,1
6/26/2002,0,1
8/13/2002,0,1
9/24/2002,0,1
11/6/2002,0,1
12/10/2002,0,1
1/29/2003,0,1
3/18/2003,0,1
3/25/2003,0,0
4/1/2003,0,0
4/8/2003,0,0
4/16/2003,0,0
5/6/2003,0,1
6/25/2003,0,1
8/12/2003,0,1
9/15/2003,0,0
9/16/2003,0,1
10/28/2003,0,1
12/9/2003,0,1
1/28/2004,0,1
3/16/2004,0,1
5/4/2004,0,1
6/30/2004,0,1
8/10/2004,0,1
9/21/2004,0,1
11/10/2004,0,1
12/14/2004,0,1
2/2/2005,0,1
3/22/2005,0,1
5/3/2005,0,1
6/30/2005,0,1
8/9/2005,0,1
9/20/2005,0,1
11/1/2005,0,1
12/13/2005,0,1
1/31/2006,0,1
3/28/2006,0,1
5/10/2006,0,1
6/29/2006,0,1
8/8/2006,0,1
9/20/2006,0,1
10/25/2006,0,1
12/12/2006,0,1
1/31/2007,0,1
3/21/2007,0,1
5/9/2007,0,1
6/28/2007,0,1
8/7/2007,0,1
8/10/2007,0,0
8/16/2007,0,0
9/18/2007,0,1
10/31/2007,0,1
12/6/2007,0,0
12/11/2007,0,1
1/9/2008,0,0
1/21/2008,0,0
1/30/2008,0,1
3/10/2008,0,0
3/18/2008,0,1
4/30/2008,0,1
6/25/2008,0,1
7/24/2008,0,0
8/5/2008,0,1
9/16/2008,0,1
9/29/2008,0,0
10/7/2008,0,0
10/29/2008,0,1
12/16/2008,0,1
1/16/2009,0,0
1/28/2009,0,1
2/7/2009,0,0
3/18/2009,0,1
4/29/2009,0,1
6/3/2009,0,0
6/24/2009,0,1
8/12/2009,0,1
9/23/2009,0,1
11/4/2009,0,1
12/16/2009,0,1
1/27/2010,0,1
3/16/2010,0,1
4/28/2010,0,1
5/9/2010,0,0
6/23/2010,0,1
8/10/2010,0,1
9/21/2010,0,1
10/15/2010,0,0
11/3/2010,0,1
12/14/2010,0,1
1/26/2011,0,1
3/15/2011,0,1
4/27/2011,0,1
6/22/2011,0,1
8/1/2011,0,0
8/9/2011,0,1
9/21/2011,0,1
11/2/2011,0,1
11/28/2011,0,0
12/13/2011,0,1
1/25/2012,1,1
3/13/2012,0,1
4/25/2012,1,1
6/20/2012,1,1
8/1/2012,0,1
9/13/2012,1,1
10/24/2012,0,1
12/12/2012,1,1
1/30/2013,0,1
3/20/2013,1,1
5/1/2013,0,1
6/19/2013,1,1
7/31/2013,0,1
9/18/2013,1,1
10/16/2013,0,0
10/30/2013,0,1
12/18/2013,1,1
1/29/2014,0,1
3/4/2014,0,0
3/19/2014,1,1
4/30/2014,0,1
6/18/2014,1,1
7/30/2014,0,1
9/17/2014,1,1
10/29/2014,0,1
12/17/2014,1,1
1/28/2015,0,1
3/18/2015,1,1
4/29/2015,0,1
6/17/2015,1,1
7/29/2015,0,1
9/17/2015,1,1
10/28/2015,0,1
12/16/2015,1,1
1/27/2016,0,1
3/16/2016,1,1
4/27/2016,0,1
6/15/2016,1,1
7/27/2016,0,1
9/21/2016,1,1
11/2/2016,0,1
12/14/2016,1,1
2/1/2017,0,1
3/15/2017,1,1
5/3/2017,0,1
6/14/2017,1,1
7/26/2017,0,1
9/20/2017,1,1
11/1/2017,0,1
12/13/2017,1,1
1/31/2018,0,1
3/21/2018,1,1
5/2/2018,0,1
6/13/2018,1,1
8/1/2018,0,1
9/26/2018,1,1
11/8/2018,0,1
12/19/2018,1,1
